DirectorNumber,Fullname,Role,Appointedon,ResignationDate,Companynumber,Companyname,StartDate_y,EndDate_y,DirectorNumber_y,Role_y,isDirector_x,isDirector_y,isActive_x,isActive_y,overlap,weight,Day_x,Day_y
3ad4ba4e,ASQUITH COLIN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,5168
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,5168
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,5168
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,2693,1456
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,3961
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,1966,983.0,2693,3233
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,7696
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,15052
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,2693,728
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,3318
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,2693,1820
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,2693,1820
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,3961
c030cd36,BARKER VICTOR,RESIGNED DIRECTOR,1991-05-18,1998-10-01,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,2693,5168
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,5168
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,5168,2693
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,5168,1456
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,3961
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,5168,3233
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,7696
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,15052
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,5168,728
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,3319,1659.5,5168,3318
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,5168,1820
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,5168,1820
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,5168,3961
6817ed30,BELL COLIN STEPHEN,RESIGNED DIRECTOR,1991-05-18,2005-07-11,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,5168,5168
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,5168
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,2693
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,5168
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,3961
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,1456,3233
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,7696
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,15052
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,1456,728
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,3318
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,1820
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,1820
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,3961
9181fd89,BROOK KENNETH,RESIGNED DIRECTOR,1991-05-18,1995-05-13,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,1456,5168
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,5168
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,3961,2693
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,5168
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,3961,1456
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3961,3233
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,7696
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,15052
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,3961,728
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,3319,1659.5,3961,3318
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,3961,1820
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,3961,1820
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,3961
03071ba9,DUNK TRACEY ANN,RESIGNED DIRECTOR,1991-05-18,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,3961,5168
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,5168
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,1966,983.0,3233,2693
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,5168
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,3233,1456
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,3961
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,7696
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,15052
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,1,0.5,3233,728
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,2591,1295.5,3233,3318
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1093,546.5,3233,1820
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1093,546.5,3233,1820
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,3961
7765436e,DURNELL BARRIE,RESIGNED DIRECTOR,1993-05-15,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,3233,5168
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,7696,5168
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,7696,2693
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,7696,5168
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,7696,1456
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,7696,3961
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,7696,3233
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1961-01-04,2002-03-22,d750a239,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,7696,15052
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,7696,728
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,3319,1659.5,7696,3318
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,7696,1820
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,7696,1820
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,7696,3961
59423e72,HARDY TERENCE,RESIGNED DIRECTOR,1991-05-18,2012-06-12,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,5169,2584.5,7696,5168
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,5168
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,2694,1347.0,15052,2693
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,5168
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,1457,728.5,15052,1456
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,3961
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,3234,1617.0,15052,3233
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,7696
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1993-05-15,908e95ab,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,15052,728
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2000-06-17,ea12cc8f,RESIGNED DIRECTOR,1,1,0.5,0.5,3319,1659.5,15052,3318
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,880612dc,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,15052,1820
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,1996-05-11,2b0ca5d3,RESIGNED DIRECTOR,1,1,0.5,0.5,1821,910.5,15052,1820
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,957c89d1,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,3961
d750a239,HUGHES DAMIAN,RESIGNED DIRECTOR,1961-01-04,2002-03-22,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,636f77cc,RESIGNED DIRECTOR,1,1,0.5,0.5,3962,1981.0,15052,5168
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,3ad4ba4e,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,5168
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,1998-10-01,c030cd36,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,2693
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,2005-07-11,6817ed30,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,5168
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,1995-05-13,9181fd89,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,1456
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,2002-03-22,03071ba9,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,3961
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1993-05-15,2002-03-22,7765436e,RESIGNED DIRECTOR,1,1,0.5,0.5,1,0.5,728,3233
908e95ab,HUGHES THOMAS,RESIGNED DIRECTOR,1991-05-18,1993-05-15,64929,LEEDS HOSPITAL FUND,1991-05-18,2012-06-12,59423e72,RESIGNED DIRECTOR,1,1,0.5,0.5,729,364.5,728,7696
