Name,BW,EG,Harmonic,Degree,IsDirector,IsActive,Days
MUNEER KHALID,0,0.019544278,0.006329114,1,1,1,4955
MURPHY MATTHEW,7.531620485,41.97866804,0.139240506,11,1,0.5,783.2727273
MURPHY NEIL BARRY,6,0.108130056,0.025316456,4,1,1,2651
MURPHY SIMON NEIL,0,0.123345213,0.006329114,4,1,1,1868
MURRAY JOHN,0,0.047867548,0.012658228,2,1,1,3192
NORTH CELINE,0,2.226393949,0.082278481,13,1,0.5,3961
O'HANLON SHAUN,308.5970521,128.8480141,0.186708861,34,1,1,2896.382353
OLIVER STUART DEAN,0,0.206991094,0.022151899,3,1,0.5,531
PEARCE DAVID ADAM SCHOFIELD,0,0.019544278,0.006329114,1,1,1,1257
PEARSON ANDREW JOHN,0,0.123345213,0.006329114,4,1,1,3798
PEREZ CHAMORRO IVAN,0,0.019544278,0.006329114,1,1,1,1399
RIDDELL SEAN DOUGLAS,28.1510394,102.2821993,0.155063291,24,1,0.5,3210.333333
ROUND JONATHON CHARLES,0,0.006289308,0.012658228,2,1,0.5,0
SARVAIYA DHAVAL,0,0.055146383,0.015822785,2,1,0.5,70
SCOWN STEPHEN WAYNE,0,1.865924805,0.091772152,11,1,1,1013
SHAFIQ SAHIKA,0,0.019544278,0.006329114,1,1,1,2315
SHAW NEIL HOWARD,0,0.047867548,0.012658228,2,1,0.5,6435
SHAW PHILIP RODNEY,0,0.019544278,0.006329114,1,1,0.5,1659
SHUCKFORD GARY,2.764011721,25.81410209,0.136075949,10,1,0.5,1551
SMITH LAWRENCE CARLETON,0,0.047867548,0.012658228,2,1,1,1869
SMITH PAUL JONATHAN,1.442848852,59.19960452,0.14556962,11,1,0.5,5357
SORLEY DAVID JAMES MCCULLOCH,0,0.019544278,0.006329114,1,1,1,1343
SOUTHBY PETER JOHN,381.4180697,274.8959602,0.196202532,67,1,1,2528.328358
SOWERBY PETER REDMORE,0,19.56168353,0.121308017,8,1,0.5,6254
SPENCER CHRISTOPHER MICHAEL KENNEDY,208.222072,243.8001829,0.183544304,51,1,0.5,1351.156863
SPITZENBERGER KAIS SANJA,0,0.019544278,0.006329114,1,1,0.5,363
STABLES DAVID LINDSAY,3.984372649,41.9350062,0.132911392,17,1,0.5,6875.470588
STANLEY DAVID,0,0.476707971,0.07278481,5,1,0.5,3570
STANLEY JONATHAN MARK,0,0.079398006,0.006329114,2,1,1,7115
STANLEY PHILIPPA SUZANNE,0,0.123345213,0.006329114,4,1,1,7115
STEWART PAUL,0,51.28753903,0.112869198,9,1,1,703
STRUDWICK RICHARD THOMAS,0,2.226393949,0.082278481,13,1,0.5,5168
SUTTON ANNA,0,0.034099443,0.009493671,1,1,1,3416
SUTTON ANNA ELIZABETH,0,0.061909577,0.009493671,2,1,1,1343
SYMONDS CHRISTIAN DEAN WILLIAM,0,0.047867548,0.012658228,2,1,1,3106
SYMONDS CONOR ROBERT WILLIAM,0,0.047867548,0.012658228,2,1,1,1413
SYMONDS KAREN PATRICIA,0,0.047867548,0.012658228,2,1,1,3106
TAMBLYN CHRISTINA,0.088235294,81.51656001,0.124472574,10,1,0.5,814.7
TAYLOR IAN,30.57850582,75.55570726,0.164556962,22,1,0.5,3196.727273
TAYLOR NEIL BARRY,20.33333333,2.241540946,0.10443038,15,1,1,2125
TAYLOR-WHILDE ELAINE MARY,1,0.077373644,0.018987342,3,1,1,2449
THEWLIS EDWARD,2,0.062740114,0.012658228,3,1,1,2034
THIRKILL JAMES,0,0.079398006,0.006329114,2,1,1,488
THOBANI MUNIRA,1.333333333,2.109744339,0.098101266,13,1,1,1692
THORBURN ANDREW JOHN,6.05764411,82.08963641,0.143459916,17,1,1,1554
THORN AMANDA JILLIAN,1.333333333,2.109744339,0.098101266,13,1,1,1229
TOWNEND NICHOLAS ADAM,4.534493607,43.08642754,0.124472574,9,1,0.5,363.6666667
VEITCH NIDIA PATRICIA,0,0.019544278,0.006329114,1,1,1,2757
VEITCH TOM,0,0.019544278,0.006329114,1,1,1,2757
WALLIS MATTHEW JAMES,0,0.063016676,0.015822785,2,1,0.5,405
WARD MARK LAWRENCE,0,1.86592479,0.091772152,11,1,1,761
WARDELL RACHAEL,1.333333333,2.109744264,0.098101266,13,1,1,1496
WHITEFIELD ELIZABETH BRIDGET,0,0.100756163,0.022151899,3,1,1,609
WHITWAM ANDREW,2.764011721,25.81410203,0.136075949,10,1,0.5,3804
WILCOCK STEPHEN JOHN,54.08677224,55.13278361,0.161392405,16,1,0.5,1350.6875
WOOD KARL IAN,0.9,8.201177963,0.116033755,5,1,0.5,863
WOODROW PHILLIP ANDREW,23.94808069,75.80505331,0.151898734,20,1,0.5,1363.6
WULFF PETER,0,0.063016676,0.015822785,2,1,1,2113
YORK ANDREW JOHN,1,0.077373644,0.018987342,3,1,0.5,853
